categoria_id;marca_id;codigo;descripcion;cantidad;precioCosto;utilidad_id
1;2;200153;TORNILLOS P/METALES C/TANQUE I/4X3;200;167.67;2
1;2;200154;TORNILLOS P/METALES C/TANQUE 5/I6XI/2;200;71.02;2
1;2;200155;TORNILLOS P/METALES C/TANQUE 5/16X5/8;200;71.89;2
1;2;200156;TORNILLOS P/METALES C/TANQUE 5/16X3/4;200;89.21;2
1;2;200157;TORNILLOS P/METALES C/TANQUE 5/l6X7/8;200;97.01;2
1;2;200158;TORNILLOS P/METALES C/TAN0UE 5/16X1;200;106.54;2
1;2;200159;TORNILLOS P/METALES C/TANQUE 5/16X1l/4;200;113.46;2
1;2;200160;TORNILLOS P/METALES C/TANQUE 5/I6XI I/2;200;133.39;2
1;2;200161;TORNILLOS P/METALES C/TANQUE 5/I6XI 3/4;200;151.57;2
1;2;200162;TORNILLOS P/METALES C/TANQUE 5/16X2;200;162.83;2
1;2;200163;TORNILLOS P/METALES C/TANQUE 5/I6X2I/2;200;198.35;2
1;2;200164;TORNILLOS P/METALES C/TANQUE 5/I6X3;200;227.79;2
